price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed
11995,2013.0,chevrolet impala,good,6.0,gas,,automatic,sedan,white,,2018-09-02,77
6995,2005.0,ram 1500,excellent,8.0,gas,144518.0,automatic,pickup,blue,1.0,2019-01-01,1
5950,2013.0,chevrolet cruze,excellent,4.0,gas,107000.0,manual,sedan,silver,,2018-08-09,124
1750,2004.0,hyundai elantra,excellent,4.0,gas,181256.0,automatic,sedan,silver,,2018-10-31,67
23900,2014.0,chevrolet silverado 1500 crew,good,8.0,gas,91844.0,automatic,pickup,white,1.0,2019-02-15,26
12500,2008.0,chevrolet silverado,excellent,8.0,gas,212000.0,automatic,truck,,1.0,2018-12-12,77
14500,2016.0,honda accord,good,,gas,41500.0,automatic,sedan,black,,2018-05-22,64
3900,2002.0,toyota sienna,excellent,6.0,gas,145000.0,automatic,mini-van,,,2018-08-05,18
12774,2013.0,volkswagen passat,excellent,4.0,diesel,64655.0,automatic,sedan,,,2018-11-22,7
4100,2003.0,gmc sierra 1500,good,8.0,gas,261455.0,automatic,pickup,white,1.0,2018-07-27,34
9500,2007.0,bmw x5,excellent,6.0,gas,92500.0,automatic,SUV,,1.0,2018-09-28,52
14785,2011.0,ram 2500,excellent,8.0,gas,136821.0,automatic,pickup,,1.0,2018-12-26,55
13500,2006.0,chevrolet silverado,good,8.0,gas,119920.0,automatic,truck,grey,,2018-12-12,169
4800,2009.0,subaru forester,excellent,4.0,gas,140000.0,automatic,sedan,red,1.0,2019-01-03,19
35600,2018.0,chevrolet silverado 1500 crew,good,8.0,gas,6915.0,automatic,pickup,white,1.0,2018-06-17,35
2395,1996.0,ford explorer,good,6.0,gas,137000.0,automatic,SUV,green,1.0,2018-12-16,42
6900,2010.0,honda accord,good,4.0,gas,151122.0,automatic,sedan,silver,,2018-08-19,66
5100,2002.0,ram 1500,excellent,,gas,146219.0,automatic,pickup,,,2018-05-09,10
10495,2015.0,chrysler 200,excellent,4.0,gas,72283.0,automatic,sedan,black,,2019-03-11,29
6495,2009.0,toyota rav4,good,4.0,gas,,automatic,SUV,red,1.0,2019-03-31,79
3500,2009.0,hyundai sonata,good,4.0,gas,106330.0,automatic,sedan,,,2018-05-27,41
5000,2009.0,chevrolet silverado 1500,good,6.0,gas,186923.0,automatic,pickup,blue,,2018-10-21,56
7990,,chevrolet silverado,like new,8.0,gas,180000.0,automatic,truck,brown,1.0,2018-07-23,12
1200,,acura tl,fair,6.0,gas,177000.0,automatic,sedan,black,,2019-02-10,71
4400,2000.0,chevrolet silverado,good,8.0,gas,205000.0,automatic,pickup,grey,1.0,2019-01-05,12
45000,2017.0,ram 2500,good,6.0,diesel,50000.0,automatic,truck,white,1.0,2019-03-11,45
7950,2010.0,subaru outback,excellent,4.0,gas,116307.0,automatic,wagon,silver,1.0,2018-09-15,31
4700,2002.0,ford f-150,good,8.0,gas,,automatic,truck,silver,1.0,2018-08-06,21
12377,2011.0,toyota sienna,excellent,6.0,gas,124394.0,automatic,mini-van,black,1.0,2018-10-24,6
8950,,ford focus se,excellent,4.0,gas,63380.0,automatic,sedan,white,,2018-08-08,36
9490,2011.0,ford f-150,excellent,,gas,147000.0,automatic,truck,,,2018-12-21,17
18988,2015.0,ram 1500,excellent,8.0,gas,87000.0,automatic,truck,,,2018-08-23,39
12500,1999.0,ford f250 super duty,good,8.0,diesel,225000.0,automatic,truck,white,1.0,2019-04-14,10
6900,2011.0,subaru outback,excellent,6.0,gas,135445.0,automatic,SUV,grey,1.0,2018-07-24,23
6995,2008.0,toyota camry,good,6.0,gas,139802.0,automatic,sedan,red,,2018-05-10,24
3500,2007.0,ford fusion,good,6.0,gas,174150.0,automatic,sedan,grey,,2019-02-14,75
12500,2004.0,ford f350,good,8.0,diesel,105242.0,automatic,truck,blue,,2018-09-11,25
8495,2013.0,chevrolet impala,good,6.0,gas,43995.0,automatic,sedan,red,,2019-01-05,119
15000,2015.0,jeep cherokee,excellent,,gas,,automatic,SUV,,1.0,2019-04-03,29
